,release,name,real_name
507,,,Dön Çarkı Devran (Yemman)
508,2006-01-06,Zere (Oy Zere),Ertelendim
509,,,Eyvah Piro
510,2009-03-16,Gitti,Gitti
511,2006-01-06,Göçen Kervanı,Göçen Kervanı
512,,,Halay Potbori: Çena Munzuri (Munzur'un Kızı)
513,,,Ağlarsa Anam Ağlar
514,,,Aman Aman
515,,,Aynalı Kemer
516,,,Ayrılığın Yükünü Kaldıramayız
517,,,Bavulunu Valizini
518,,,Bir Başka Sevgili
519,,,Biz Bir Canız
520,,,Boşuna
521,,,Çöpçüler
522,,,Derdi Güzel
523,,,Dermanım Sende
524,,,Dön Çarkı Devran (Yemman)
525,,,Eyvah Piro
526,,,Güllerin İçinden
527,,,İki Satır
528,,,Kalmadı
529,,,Kavuşamadım
530,,,Ahenk
531,,,Artçı Şoklar Anti Handikap
532,,,Ben Bir İnsanım
533,,,Bir Fiyonk Atalım
534,,,Bir Kıssa Bin Hisse
535,,,Bir Şans Ver
536,,,Bitik Şans
538,,,Büyümez Ölü Çocuklar
539,,,Cesetler Rahatsız (ft Psychotic Imaginer)
540,,,Çıkış
541,,,Deniz Kızı
542,2006,Eşgalimdi Eşkıya,Eşgalimdi Eşkiya
543,,,Geçmişi Yok Say
544,,,Gönlünce Yaşa
545,2006,Günlüklerim Aylık Olmuş,Günlüklerim Aylık Olmuş
546,,,Hamle
547,,,Hayat (Ft. La Diyez & Muasır)
548,,,Herşey...Herkes
549,,,Hudut
550,,,Işığım Nerede
551,,,İçimizden Geldi
552,,,Kabul Et Yada Reddet
553,,,Karanlık Satırlar
554,,,Kartal
555,,,Virane Dervişler
556,,,Yakamozun Koynunda
557,,,Yalnızlık İki Satır
558,,,Yaşamadım Relax ( Savaş )
560,,,Yeminli Yaver
598,1995-09-22,Hard as a Rock,Hard As A Rock
682,,,Acizsin
683,,,Bebek
684,,,Bir Tek Sen Anlarsın
685,,,Eller Yalan
686,,,Gel Bana
687,,,Küçük Adam
688,,,Ölüm Meleği
689,,,Sen De İste
690,,,Sevmeyen Sevmesin
691,,,Yaz
692,,,Yusuf Yusuf
693,,,Aşkın Sadakatsizliği
694,,,Büyük Aşkın Sonu
695,,,Hayatın Akışı
696,,,Soytarı
697,,,Sözlerimize Başlarken
698,,,Vatan Sevgisi
729,2016-10-27,Acının İlacı,Acının İlacı
730,2016-10-27,Ah Benim Hayatım,Ah Benim Hayatım
731,,,Ah Ulan Ah
732,2014-09-08,Ateş Ederim,Ateş Ederim
733,2014-09-08,Bi Öyle Bi Böyle,Bi Öyle Bi Böyle
734,2014-09-08,Bizim Zamanımız,Bizim Zamanımız
735,2014-09-08,Çek Sifonu,Çek Sifonu
736,2016-10-27,E Tabi,E Tabi
737,2016-10-27,Hepinize El Salladım,Hepinize El Salladım
738,2014-09-08,İnsanın Düştüğü Durumlar,İnsanın Düştüğü Durumlar
739,2014-09-08,Kadın,Kadın
740,,,Adana Köprü Başı
741,,,Adana Yollarında
742,,,Ağlarım (Yirmi Sene Gurbet Kahrı)
743,,,Ahu Gözlüm Tut Elimden
744,,,Ala Geyik Gibi Boyun Sallarsın
745,,,Arabayı Yörüttüler
746,,,Arkadaşım Gurbet Elde Vuruldu
747,,,Aşk Yoluna Canı Feda Kılanlar
748,,,Atların Yiğidi Kulağın Diker
749,,,Ay Doğar Ayazlanır
750,,,Baba Gızın Çok Muyudur
751,,,Bak Sevdiğim (Kanlı Yaşlar)
752,,,Belli Olmaz (Baki Değil)
753,,,Ben De Yoruldum
754,,,Bileydim Derinci'ya Varmazdım
755,,,Bir Ay Doğmuş (Beymayıl)
756,,,Bizim Yaylalarımız Altın Oluklu
757,,,Bocu Köyden Çıktım
758,,,Bodu Bodu Anan Neden Öldü
759,,,Bozgedik Destanı
760,,,Bu Dünyayı Baştan Başa
762,,,Camızı Bağladım Otluğa Yakın
763,,,Cin Yusuf'un Türküsü
764,,,Çello
765,,,Göy Yüzünde Bölük Bölük
766,,,Güzeller Güzeli Nur Tanesin Sen
767,,,Hacı Bey Ağıtı
768,,,Haktan Gelip Hakka Giden
769,,,Hasan Dağı Çatal Matal
770,,,Hasan Dağı Hasan Dağı
