,artist,title,album,text
20,Orhan Gencebay,Aşk Sensiz Olmaz,,Bu böyle gitmez yavrum  Bu böyle gitmez  Seni her an görsem bile  Bu bana yetmez    Dayanamam dayanamam  Hasretlerine  Yanımda kal gitme ne olur  Kimseler görmez    Sensiz olmaz sensiz olmaz  Aşk sensiz olmaz  Bensiz olmaz bensiz olmaz  Yar bensiz olmaz  
21,Orhan Gencebay,Aşkımı Sakla,Hasret Rüzgarı,Ben seni böyle sımsıcak bilmezdim Eridi gönlümün karlı dağları Senden önce kimseyi beğenmezdim Çözüldü gönlümün buzdan bağları  Dur sana şöyle bir bakayım Aşkımı sakla bir ben bulayım Dur sana şöyle bir bakayım Aşkımı sakla bir ben bulayım  Geç kalmadık sevilmeye sevmeye Hasret kaldık biz muhabbet etmeye Sırılsıklam eden aşk yağmurları Sürüklüyor beni Mecnun etmeye    
22,Orhan Gencebay,Aşkımızın Duası,Hatasız Kul Olmaz,Dünya gözlerinde ağlıyor gibi Her damla aşkımızı bağlıyor gibi Dünya gözlerinde ağlıyor gibi Her damla aşkımıza bir dua gibi  Kaderim bile seni benden çok sevdi Derdinde mutluluk var aşk seni bana verdi Yarınlar bak ufukta aşkımıza gel gel diyor Kucak açmış hep ümitler bizi bekliyor  Bitti artık ızdırabım Gönlüm buldu mutluluğu 
23,Orhan Gencebay,Aşkın Hesabı Olmaz,,Sevmek mi daha güzel sevilmek midir gülüm Senin niyetin beni delirtmek midir   gülüm Bu dünyanın kanunu al gülümle ver gülüm Aşk paylaşmak içindir paylaşalım be gülüm  De gülüm seviyorum de gülüm De gülüm sevdim de gülüm  Aşkın hesabı olmaz Aşktır bu gözü doymaz Her şeyi satın alır satın alınmaz Aşkın hesabı olmaz Aşktır bu gözü doymaz Herşeyim senin gülüm Sensiz aşk olmaz  Gönlüm aşk pazarında hesap bilmiyor gülüm Gönül ticaretinde hesap olmuyor gülüm Bakmak yetmiyor gülüm tutmak kesmiyor gülüm Aklım sana takılmış beni takmıyor gülüm   
24,Orhan Gencebay,Aşkta Cimrilik Olmaz,Ben Topraktan Bir Canım,Bu gönlümde bir başkalık var İçimden hep seni sevdim demek geliyor Kim bilir kimlerin gözü var sende Herkes sana aşık olmak istiyor  Dalıp dalıp gidiyorsun Düşünecek ne var ki Bütün dertler bitti artık Çekecek şey kalmadı ki  Sen her sözde bin bir mana Sen bahardan da güzelsin Sen tanrının bir ihsanı Sen her mevsimde tazesin Sen en güzel sözden de güzelsin  Aşkta cimrilik olmaz sevdiğim Aşk sevgiyle büyür doymaz sevgilim Gönlünü sevene adamadıysan Ne yazık buna aşk denmez sevdiğim   
25,Orhan Gencebay,Benide Allah Yarattı,Bir Teselli Ver,Kırıldı kalbim sana diyemiyorum  Nasıl tamir edersin bilemiyorum  Sana gönül verdimse öldür demedim  Aşkın ızdırap oldu çekemiyorum    Beni de Allah yarattı ben de bir kulum  Merhamete gel artık yeter bu zulüm    Nerden gördüm seni görmez olaydım  Aşka hürmetin yokmuş sevmez olaydım  Beni de Allah yarattı ben de bir kulum  Merhamete gel artık yeter bu zulüm   
26,Orhan Gencebay,Benim Değil,,Benim değil senin değil  Bu doğanın bir kanunu  Böyle gelmiş böyle gider  Budur aşkın oyunu  Kimi ağlar kimi güler kimi doğuştan derbeder  Böyle gelmiş böyle gider  Böyledir aşk kanunu  Bence aşkın kendisi sensin ömrüm senle senle tükensin  Sen hem bensin hem de sensin  Her duyguma kadersin  Gülme sakin seni kıskanırsam      [ reklamı gizle   hide ads ]Affet beni seni aldatırsam  Anla beni yaşayamam  Sensiz kalırsam  Bazen acı bazen tatlı  Bazen haksız bazen haklı  Böyle gelmiş böyle gider  Bugün yarından farklı  Senden uzak gecen bir gün  Belki sığmaz bir ömür'e  Anlatılmaz bir duygu bu  Gel de anlat gönlüme   
27,Orhan Gencebay,Benim Dünyam,Batsın Bu Dünya,"Sen benim içimde bir korkulu rüya Her gün sevip sardığım bir hülyasın Yokluk ateşten gömlek Sensizlik ölüm gibi Rüyam,hülyam,benim dünyamsın Kanımda,canımda,alın yazımda Bir sen varsın bir de ben şu dünyada Nazar değmesin sana Eller değmesin sana  Sensizlik ölüm bana Seni benim gibi seven bulamazsın Tanrım bu rüyadan hiç uyandırmasın Ömrün vefası yok Korkum aşkımdan çok Gönlüm sensiz kalmasın Korkulu rüyam Gülen bahtımsın Sen benim,sen benim,sen benim dünyamsın  "
28,Orhan Gencebay,Berhudar Ol,,Eline beline diline sahip ol Bir gönül kırdıysan onun dermanı ol Yanlış yapmakta var günahkar olmakta Hatasız kul olmaz dostum Hatana sahip ol hatana sahip ol hatana sahip ol Sana taş atana sende ekmek at İnsanlık ölmedi dostum gören anlasın Öfkene hakim ol sabrından inat Hoşgörülü olki dostum tadında kalsın Sevgide cömert ol umudunda zengin Hayat öğrenmek demektir bir de mutlu ol Öğren Mutlu ol Berhudar ol berhudar Berhudar ol berhudar Su gibi aziz ol ömrünce bahtiyar     
29,Orhan Gencebay,Besmeleyle Başla,,"Besmeleyle başla ümidin tam olsun  Yarsız ömür olmaz sev ki yarin olsun  Sev yarin olsun    Hayat iniş çıkış düzünü ara bul  Yürekten araki her şey kolay olsun  Her şey kolay olsun    Of demeden geçmez bu hayat  Oh dedirtecek bir yarin olsun  Oh dedirtecek dostların olsun    eval(ez_write_tag([[300,250],'alternatifim_com-box-4','ezslot_2']));  [ reklamı gizle   hide ads ]  Olmaz deme sakın bel ki bir gün olur  Hayat sürpriz dolu fırsatlar bulunur    Besmeleyle başla niyet tut bahtına  Olur ya da olmaz gitmesin ağrına  Gitmesin zoruna    Mutlu olmak için kendin gibi görün  Bir seven bulduysan bakma ona buna  Bakma şuna buna   "
30,Orhan Gencebay,Bırakında Yaşayalım,Bir Damla Mutluluk,Ayrılığın böylesi görülmüş bir şey değil Bu aşkın ızdırabı çekilecek dert değil Bir toz gibi savrulduk hepimiz bir kenara Hasret dolu gözlerim şimdi döndü pınara  Kabahat kimde idi kaderde mi bizde mi Derde boyun eğmeyip yaşamamak elde mi Acı çekmeyen insan yaşamayı bilmezmiş Sevmek yoktur diyenler bir gün boyun eğermiş  Bırakın da yaşayalım hasretiz yaşamaya biz Ne macera ne bir heves dünyadaki seferimiz 
31,Orhan Gencebay,Bilmesin O Felek,Beni Biraz Anlasaydın,Bilmesin o felek Seni çok sevdiğimi Duymasın kaderim Seni istediğimi  Alırlar seni benden Vururlar yüreğimden Bilmezsin sensizliğin bana Neler neler çektirdiğini  Söyleme kıskanırlar Ağlama dertli sanırlar Çalarlar koparırlar Bizi bizden ayırırlar      
32,Orhan Gencebay,Bilmez İnsan Kadrini,Bir Damla Mutluluk,Bilmez insan kadrini kendi insan olmayan Ömür gelir geçer bir cileki dolmadan Bana ondan hatira yalniz gönlümde kalan    Yasarim sessiz sessiz kalbimde dolu hicran Söylemisti bir çok söz megerse hepsi yalan    Benim bir gülüm vardi soldurmadan koklardim Verdigin hatirayi hep kalbimde saklardim O beni unutsa da ben onu unutmadim    Yasarim sessiz sessiz kalbimde dolu hicran Söylemisti bir çok söz megerse hepsi yalan   
33,Orhan Gencebay,Bilseydim,Utan-Dokunma,Meydan mi verirdim bu ayrılığa Bilseydim bu kadar zor olduğunu Bilseydim dünyanın böyle karanlık Bilseydim bu kadar dar olduğunu  Dilimden sıçrayan bir kıvılcımın Bilseydim biranda kor olduğunu Bilseydim su anki gönül acımın Senin yokluğunda var olduğunu  Meydan mi verirdim...  Bilseydim yüzümün dört mevsimi güz 
34,Orhan Gencebay,Bir Araya Gelemeyiz,Batsın Bu Dünya,Yüce dağlar bizi bizden ayırmış Arkasını göremeyiz sevdiğim Ferhat bir zamanlar delmiş diyorlar Dağ bir değil delemeyiz sevdiğim  Baban maaşıma harçlık diyormuş Anan on binlerce başlık diyormuş Kısacası bu iş olamıyormuş Bir araya gelemeyiz sevdiğim  Dağ bir değil demiş idim önceden Bilen bilir payın alır bu sözden 
35,Orhan Gencebay,Bir Damla Mutluluk,Leyla ile Mecnun,"Ecel baş ucumda  Sen yoksun yanımda  Hani bizim aşkımız  Hani bizim sözümüz  Böyle mi olacaktı    Sevenin sevdiğini  Öldürürken gördün mü  Seni sevip de ölmek  Sevgini bilmemek  Beni mi bulacaktı böyle mi olacaktı    Bir damla mutluluk yaşatırdı beni  Gönül pınarından verebilseydin eğer  Yağabilseydin eğer  Bir yudum mutluluk bir mucize idi    eval(ez_write_tag([[336,280],'alternatifim_com-box-4','ezslot_1']));  [ reklamı gizle   hide ads ]Yaralı gönlüme tadabilseydim eğer  İçebilseydim eğer    Hani sen bir kaderin değişmez yazısıydın  Çizdiğin kader yolu böyle mi olacaktı    Sen yıktın sevgilim sen virane ettin  Gittin de ne oldu eyvah yazık ettin  Ben bir tecrübeyi aşkta kazanırken  Sen bir sevgili bir gönlü kaybettin  Sevenini kaybettin    Hani sen bir kaderin değişmez yazısıydın  Çizdiğin kader yolu böyle mi olacaktı  Beni mi bulacaktı senden mi olacaktı   "
36,Orhan Gencebay,Bir De Sen Vurma,Kiralık Dünya,Kalbimi kırma gönlümü kırma Vurma vurma aşkımı vurma Vurma vurma yüzüme vurma  Sensizlik başıma vurdu Yalnızlık kaderim oldu Bir de sen vurma Bari sen vurma  Yasamak çok zor zaten Gel de yardim et derken Ecelim olma  Kurtlar sofrasına dal babam dal Bu alemden zorla al babam al İnsanın hakkını çal babam çal Gel de bozulma gel de kahrolma 
37,Orhan Gencebay,Bir Görüşte Aşık Oldum,Yarabbim,Bir görüşte aşık oldum sana delice  Bekliyorum gelmiyorsun bana bir gece  Izdırabım diner benim geldiğin gece  Ağlıyorum gülmüyorum inan her gece     Acı çektirmek mi bana maksadın zalim  Senden başka yoktur benim tutacak dalım   Gel elinle öldür beni çektirme yeter  Her gün zulmünden perişan olmadan halim   
38,Orhan Gencebay,Bir İçim Su Gibisin,Emrin Olur,BİR IŞIK VAR GÖZLERİMDE BİR DAVET VAR SÖZLERİNDE  BİR ÜMİT VAR GÖZLERİNDE BENİ DELİ EDİYOR BENİ DELİ EDİYOR  BİR İÇİM SU GİBİSİN  BİRİCİK SEVDİĞİMSİN İÇMEK İSTİYORUM KANA KANA SEVGİNİ PAYLAŞMAK İSTİYORUM DERDİNİ VE KEDERİNİ SENİ SENİ SENİ SENİ  BİR İÇİM SU GİBİSİN  ÖLÜRSEM SEBEBİMSİN BIRAK KALSIN ELİN ELİMDE 
39,Orhan Gencebay,Bir Özrüle Dil Aşınmaz,Yalnız Değilsin,Bir özürle dil aşınmaz Seven kalp ile oynanmaz İnsanım ben taş değilim Can çıkmasa huy da çıkmaz  Her yerde bir mucize var Bakıp bakıp görmedin mi Sevgi dolu her tarafta Sen ömrünce sevmedin mi Girmedin mi girmedin mi Sen bir gönle girmedin mi  
40,Orhan Gencebay,Bir Teselli Ver,Bir Teselli Ver,"Bir teselli ver, Bir teselli ver, Yarattığın mecnuna, Bir teselli ver.  Sevenin halinden, Sevenler anlar, Gel gör şu halimi, Bir teselli ver.  Aramızda başka, Biri var ise, Tertemiz aşkımı, Bana geri ver.  Ben zaten her acının, Tiryakisi olmuşum, Ömür boyu bitmeyen, Dert ile yoğrulmuşum.  Gülemem sevgilim, Ben sensiz aah yaşayamam, yaşayamam.  Bana ne gerek, "
41,Orhan Gencebay,Bir Yudum Mutluluk,Leyla İle Mecnun,Ecel baş ucumda Sen yoksun yanımda Hani bizim aşkımız Hani bizim sözümüz Böyle mi olacaktı  Sevenin sevdiğini Öldürürken gördün mü Seni sevip de ölmek Sevgini bilmemek Beni mi bulacaktı böyle mi olacaktı  Bir damla mutluluk yaşatırdı beni Gönül pınarından verebilseydin eğer Yağabilseydin eğer Bir yudum mutluluk bir mucize idi     
42,Orhan Gencebay,Bir Zaman Ağlayıp,Benim Dertlerim,Bir zaman ağlayıp koştun peşimden  Göz yaşını silen yine ben oldum  Gülerek dönüp de baktın yüzüme  Sahte gülüşüne kanan ben oldum    İhanet etmiştin aşkıma benim  Deli divaneye dönen ben oldum  Her zaman koşarken aşkın yolunda  Aşkımla baş başa kalan ben oldum   
43,Orhan Gencebay,Bitecek Dertlerimiz,Benim Dertlerim,"Alan aldı giden gitti ah ile  Ölen öldü kalan kaldı vah ile  Ah  .yaşanırmı bu zulümle kahır ile  Asırlara sığmaz bizim derdimiz  Yetmez olduk kendimize kendimiz of    Yıların günahı kaderde mi kalacak  Elbet bir gün insanlık  Sizden hesap soracak    Bin dertle bin gamla, yaşadık çok yılları  Sardıkça ezdi bizi, yoksulluğun kolları  Bir gün mutlaka göreceğiz bizde  O güzel yarınları      [ reklamı gizle   hide ads ]Biz görmesek de görecekler var  O mutlu yarınları    Haklıysan vur bize boyun kıldan incedir  Eğer insanlık yaşıyorsa  Bu acılar dert nedir    İnsanız, insanca yaşamaktır gayemiz  Ne şiddet nede isyan  Haktan yana derdimiz  Bir gün mutlaka yaşıyorsak eğer  Gülecek her birimiz  Biz görmesek de görecekler var  Bitecek dertlerimiz   "
44,Orhan Gencebay,Boynu Bükük Sevgili,Sarhoşun Biri,Aşktan boynu bükük olan sevgililer Ümitsiz olsa da gel diyeni bekler Aşktan boynu bükük olan sevgililer Ümitsiz olsa da sev diyeni bekler  Ne gelen var ne de seven bir sevgili Ne gelen var ne de sevecek bir sevgili Korkarım ömrüm beklemekle geçer Korkarım ömrüm beklemekle biter  Aşkım garip ben garip kalmışım bu yerlerde Gülüyor bak mutluluk nizde uzak ellerde     
